Agency	CLR	County	MRD	State	Year
Farmers Branch	0	Dallas, TX	1	Texas	2015
Garland	7	Dallas, TX	8	Texas	2015
Grand Prairie	3	Dallas, TX	7	Texas	2015
Irving	7	Dallas, TX	9	Texas	2015
Lancaster	2	Dallas, TX	4	Texas	2015
Mesquite	5	Dallas, TX	7	Texas	2015
Richardson	1	Dallas, TX	1	Texas	2015
Rowlett	0	Dallas, TX	1	Texas	2015
Seagoville	2	Dallas, TX	2	Texas	2015
Lamesa	1	Dawson, TX	1	Texas	2015
Denton	1	Denton, TX	2	Texas	2015
Lewisville	2	Denton, TX	2	Texas	2015
The Colony	2	Denton, TX	2	Texas	2015
Ector County	1	Ector, TX	2	Texas	2015
Odessa	9	Ector, TX	10	Texas	2015
Edwards County	1	Edwards, TX	1	Texas	2015
El Paso	14	El Paso, TX	17	Texas	2015
El Paso County	5	El Paso, TX	6	Texas	2015
Ellis County	1	Ellis, TX	1	Texas	2015
Fort Bend County	7	Fort Bend, TX	8	Texas	2015
Missouri City	4	Fort Bend, TX	1	Texas	2015
Rosenberg	2	Fort Bend, TX	4	Texas	2015
Stafford	1	Fort Bend, TX	0	Texas	2015
Sugar Land	0	Fort Bend, TX	1	Texas	2015
Franklin County	3	Franklin, TX	3	Texas	2015
Freestone County	1	Freestone, TX	1	Texas	2015
Friendswood	1	Galveston, TX	1	Texas	2015
Galveston	3	Galveston, TX	2	Texas	2015
Galveston County	2	Galveston, TX	3	Texas	2015
La Marque	1	Galveston, TX	4	Texas	2015
League City	1	Galveston, TX	1	Texas	2015
Texas City	3	Galveston, TX	3	Texas	2015
Gillespie County	1	Gillespie, TX	2	Texas	2015
Gonzales County	1	Gonzales, TX	1	Texas	2015
Collinsville	1	Grayson, TX	1	Texas	2015
Denison	2	Grayson, TX	2	Texas	2015
Grayson County	3	Grayson, TX	3	Texas	2015
Sherman	2	Grayson, TX	2	Texas	2015
Gregg County	0	Gregg, TX	4	Texas	2015
Kilgore	1	Gregg, TX	0	Texas	2015
Longview	7	Gregg, TX	15	Texas	2015
Schertz	0	Guadalupe, TX	2	Texas	2015
Seguin	3	Guadalupe, TX	2	Texas	2015
Hardeman County	2	Hardeman, TX	2	Texas	2015
Kountze	1	Hardin, TX	1	Texas	2015
Silsbee	1	Hardin, TX	1	Texas	2015
Baytown	5	Harris, TX	6	Texas	2015
Harris County	35	Harris, TX	89	Texas	2015
Houston	190	Harris, TX	303	Texas	2015
Pasadena	2	Harris, TX	2	Texas	2015
South Houston	1	Harris, TX	0	Texas	2015
Texas Southern University	2	Harris, TX	2	Texas	2015
Tomball	0	Harris, TX	1	Texas	2015
Webster	1	Harris, TX	1	Texas	2015
Marshall	1	Harrison, TX	2	Texas	2015
Kyle	0	Hays, TX	2	Texas	2015
San Marcos	3	Hays, TX	5	Texas	2015
Henderson County	1	Henderson, TX	1	Texas	2015
Donna	2	Hidalgo, TX	1	Texas	2015
Edinburg	2	Hidalgo, TX	2	Texas	2015
Hidalgo	0	Hidalgo, TX	1	Texas	2015
Hidalgo County	13	Hidalgo, TX	17	Texas	2015
Mcallen	2	Hidalgo, TX	2	Texas	2015
Mercedes	0	Hidalgo, TX	1	Texas	2015
Mission	1	Hidalgo, TX	1	Texas	2015
Palmview	2	Hidalgo, TX	3	Texas	2015
Pharr	1	Hidalgo, TX	1	Texas	2015
San Juan	1	Hidalgo, TX	2	Texas	2015
Weslaco	1	Hidalgo, TX	1	Texas	2015
Hill County	2	Hill, TX	2	Texas	2015
Levelland	1	Hockley, TX	1	Texas	2015
Hood County	2	Hood, TX	2	Texas	2015
Sulphur Springs	1	Hopkins, TX	2	Texas	2015
Houston County	0	Houston, TX	1	Texas	2015
Big Spring	2	Howard, TX	1	Texas	2015
Howard County	0	Howard, TX	1	Texas	2015
Greenville	2	Hunt, TX	0	Texas	2015
Hunt County	2	Hunt, TX	0	Texas	2015
Irion County	1	Irion, TX	1	Texas	2015
Jack County	1	Jack, TX	1	Texas	2015
Jasper County	2	Jasper, TX	0	Texas	2015
Jeff Davis County	1	Jeff Davis, TX	1	Texas	2015
Beaumont	10	Jefferson, TX	16	Texas	2015
Port Arthur	3	Jefferson, TX	5	Texas	2015
Alice	1	Jim Wells, TX	1	Texas	2015
Jim Wells County	1	Jim Wells, TX	3	Texas	2015
Johnson County	1	Johnson, TX	1	Texas	2015
Karnes County	1	Karnes, TX	1	Texas	2015
Kaufman County	2	Kaufman, TX	2	Texas	2015
Terrell	1	Kaufman, TX	1	Texas	2015
Kerr County	1	Kerr, TX	1	Texas	2015
Kerrville	1	Kerr, TX	1	Texas	2015
Kingsville	1	Kleberg, TX	1	Texas	2015
Paris	0	Lamar, TX	1	Texas	2015
Yoakum	1	Lavaca, TX	1	Texas	2015
Cleveland	2	Liberty, TX	1	Texas	2015
Dayton	1	Liberty, TX	1	Texas	2015
Liberty	0	Liberty, TX	1	Texas	2015
Liberty County	4	Liberty, TX	4	Texas	2015
Lipscomb County	3	Lipscomb, TX	3	Texas	2015
Lubbock	13	Lubbock, TX	16	Texas	2015
Lubbock County	1	Lubbock, TX	1	Texas	2015
Bay City	1	Matagorda, TX	1	Texas	2015
Eagle Pass	1	Maverick, TX	1	Texas	2015
Mclennan County	1	McLennan, TX	1	Texas	2015
Waco	5	McLennan, TX	22	Texas	2015
Medina County	4	Medina, TX	2	Texas	2015
Midland	7	Midland, TX	7	Texas	2015
Midland County	1	Midland, TX	2	Texas	2015
Cameron	1	Milam, TX	1	Texas	2015
Colorado City	1	Mitchell, TX	1	Texas	2015
Conroe	3	Montgomery, TX	1	Texas	2015
Montgomery County	6	Montgomery, TX	6	Texas	2015
Moore County	0	Moore, TX	1	Texas	2015
Daingerfield	2	Morris, TX	1	Texas	2015
Naples	1	Morris, TX	2	Texas	2015
Nacogdoches County	1	Nacogdoches, TX	1	Texas	2015
Corpus Christi	13	Nueces, TX	17	Texas	2015
Nueces County	0	Nueces, TX	3	Texas	2015
Robstown	0	Nueces, TX	1	Texas	2015
Orange	1	Orange, TX	2	Texas	2015
Orange County	0	Orange, TX	1	Texas	2015
Vidor	0	Orange, TX	2	Texas	2015
Panola County	2	Panola, TX	2	Texas	2015
Weatherford	2	Parker, TX	1	Texas	2015
Bovina	1	Parmer, TX	1	Texas	2015
Pecos County	1	Pecos, TX	1	Texas	2015
Corrigan	1	Polk, TX	1	Texas	2015
Livingston	1	Polk, TX	0	Texas	2015
Polk County	1	Polk, TX	1	Texas	2015
Amarillo	7	Potter, TX	9	Texas	2015
Potter County	1	Potter, TX	1	Texas	2015
Randall County	0	Randall, TX	1	Texas	2015
Clarksville	1	Red River, TX	1	Texas	2015
Pecos	1	Reeves, TX	1	Texas	2015
Reeves County	1	Reeves, TX	1	Texas	2015
Hearne	1	Robertson, TX	1	Texas	2015
Ballinger	1	Runnels, TX	1	Texas	2015
Rusk County	0	Rusk, TX	1	Texas	2015
Aransas Pass	1	San Jacinto, TX	1	Texas	2015
Shelby County	2	Shelby, TX	2	Texas	2015
Smith County	5	Smith, TX	7	Texas	2015
Tyler	2	Smith, TX	3	Texas	2015
Somervell County	1	Somervell, TX	1	Texas	2015
La Grulla	2	Starr, TX	2	Texas	2015
Rio Grande City	1	Starr, TX	1	Texas	2015
Arlington	8	Tarrant, TX	8	Texas	2015
Bedford	1	Tarrant, TX	1	Texas	2015
Benbrook	1	Tarrant, TX	1	Texas	2015
Colleyville	1	Tarrant, TX	0	Texas	2015
Crowley	1	Tarrant, TX	1	Texas	2015
Fort Worth	37	Tarrant, TX	56	Texas	2015
Hurst	1	Tarrant, TX	1	Texas	2015
Kennedale	1	Tarrant, TX	1	Texas	2015
Mansfield	3	Tarrant, TX	1	Texas	2015
North Richland Hills	0	Tarrant, TX	1	Texas	2015
Saginaw	1	Tarrant, TX	1	Texas	2015
Watauga	0	Tarrant, TX	1	Texas	2015
Abilene	7	Taylor, TX	7	Texas	2015
Brownfield	0	Terry, TX	1	Texas	2015
San Angelo	1	Tom Green, TX	3	Texas	2015
Tom Green County	1	Tom Green, TX	0	Texas	2015
Austin	20	Travis, TX	23	Texas	2015
Travis County	4	Travis, TX	4	Texas	2015
Trinity County	1	Trinity, TX	1	Texas	2015
Upshur County	2	Upshur, TX	2	Texas	2015
Val Verde County	0	Val Verde, TX	1	Texas	2015
Victoria	0	Victoria, TX	3	Texas	2015
Huntsville	2	Walker, TX	2	Texas	2015
Walker County	1	Walker, TX	1	Texas	2015
Prairie View	1	Waller, TX	2	Texas	2015
Waller County	0	Waller, TX	2	Texas	2015
Ward County	0	Ward, TX	1	Texas	2015
Brenham	1	Washington, TX	0	Texas	2015
Laredo	7	Webb, TX	8	Texas	2015
Wharton County	1	Wharton, TX	1	Texas	2015
Burkburnett	0	Wichita, TX	1	Texas	2015
Wichita Falls	1	Wichita, TX	1	Texas	2015
Cedar Park	1	Williamson, TX	1	Texas	2015
Leander	1	Williamson, TX	1	Texas	2015
Round Rock	1	Williamson, TX	1	Texas	2015
Taylor	1	Williamson, TX	1	Texas	2015
Williamson County	1	Williamson, TX	2	Texas	2015
Winkler County	0	Winkler, TX	1	Texas	2015
Wise County	2	Wise, TX	2	Texas	2015
Wood County	1	Wood, TX	0	Texas	2015
Graham	1	Young, TX	1	Texas	2015
Zapata County	1	Zapata, TX	1	Texas	2015
Brigham City	1	Box Elder, UT	1	Utah	2015
North Park	0	Cache, UT	1	Utah	2015
Bountiful	1	Davis, UT	1	Utah	2015
Clearfield	1	Davis, UT	1	Utah	2015
Davis County	1	Davis, UT	1	Utah	2015
Layton	1	Davis, UT	1	Utah	2015
Sunset	0	Davis, UT	1	Utah	2015
Roosevelt	1	Duchesne, UT	1	Utah	2015
Dignitary Protection	1	Salt Lake, UT	0	Utah	2015
Draper	0	Salt Lake, UT	1	Utah	2015
Murray	0	Salt Lake, UT	3	Utah	2015
Salt Lake City	6	Salt Lake, UT	8	Utah	2015
Salt Lake County	6	Salt Lake, UT	9	Utah	2015
Sandy	1	Salt Lake, UT	2	Utah	2015
South Salt Lake	1	Salt Lake, UT	1	Utah	2015
Utah Highway Patrol	0	Salt Lake, UT	1	Utah	2015
West Valley	6	Salt Lake, UT	8	Utah	2015
Wildlife Resources	0	Salt Lake, UT	1	Utah	2015
San Juan	1	San Juan, UT	1	Utah	2015
Sevier County	0	Sevier, UT	1	Utah	2015
Orem	1	Utah, UT	1	Utah	2015
Utah County	1	Utah, UT	2	Utah	2015
Ogden	3	Weber, UT	4	Utah	2015
Pleasant View	1	Weber, UT	1	Utah	2015
Riverdale	1	Weber, UT	1	Utah	2015
Roy	0	Weber, UT	3	Utah	2015
Weber County	1	Weber, UT	1	Utah	2015
State Police: Williston	1	Addison, VT	1	Vermont	2015
State Police: St. Johnsbury	1	Bennington, VT	1	Vermont	2015
Burlington	1	Chittenden, VT	1	Vermont	2015
State Police: Rockingham	1	Chittenden, VT	1	Vermont	2015
Barre	1	Washington, VT	1	Vermont	2015
Berlin	0	Washington, VT	3	Vermont	2015
State Police: Bradford	1	Windham, VT	1	Vermont	2015
Springfield	1	Windsor, VT	1	Vermont	2015
Accomack County	2	Accomack, VA	4	Virginia	2015
Onley	1	Accomack, VA	1	Virginia	2015
Albemarle County Police Department	1	Albemarle, VA	0	Virginia	2015
Alexandria	1	Alexandria, VA	4	Virginia	2015
State Police: Amelia County	3	Amelia, VA	3	Virginia	2015
Amherst County	1	Amherst, VA	1	Virginia	2015
Appomattox County	2	Appomattox, VA	2	Virginia	2015
Arlington County Police Department	2	Arlington, VA	1	Virginia	2015
Augusta County	2	Augusta, VA	2	Virginia	2015
Bedford County	3	Bedford, VA	3	Virginia	2015
State Police: Bedford County	1	Bedford, VA	0	Virginia	2015
State Police: Bland County	0	Bland, VA	1	Virginia	2015
Botetourt County	1	Botetourt, VA	0	Virginia	2015
Buchanan County	0	Buchanan, VA	1	Virginia	2015
Campbell County	0	Campbell, VA	1	Virginia	2015
Caroline County	0	Caroline, VA	1	Virginia	2015
State Police: Caroline County	0	Caroline, VA	1	Virginia	2015
Charlotte County	1	Charlotte, VA	3	Virginia	2015
Charlottesville	0	Charlottesville, VA	1	Virginia	2015
Chesapeake	1	Chesapeake, VA	11	Virginia	2015
Chesterfield	9	Chesterfield, VA	9	Virginia	2015
State Police: Colonial Heights	1	Colonial Heights, VA	1	Virginia	2015
Covington	1	Covington, VA	1	Virginia	2015
Culpeper County	4	Culpeper, VA	1	Virginia	2015
Danville	5	Danville, VA	7	Virginia	2015
State Police: Dickenson County	0	Dickenson, VA	1	Virginia	2015
Dinwiddie County	0	Dinwiddie, VA	1	Virginia	2015
Emporia	1	Emporia, VA	1	Virginia	2015
Essex County	0	Essex, VA	1	Virginia	2015
Fairfax County Police Department	11	Fairfax, VA	14	Virginia	2015
Fauquier County	2	Fauquier, VA	2	Virginia	2015
Fluvanna County	1	Fluvanna, VA	1	Virginia	2015
Franklin	2	Franklin, VA	2	Virginia	2015
Franklin County	5	Franklin, VA	6	Virginia	2015
State Police: Franklin County	0	Franklin, VA	1	Virginia	2015
Frederick County	0	Frederick, VA	1	Virginia	2015
Fredericksburg	4	Fredericksburg, VA	5	Virginia	2015
Goochland County	0	Goochland, VA	1	Virginia	2015
Halifax County	2	Halifax, VA	1	Virginia	2015
Hampton	11	Hampton, VA	16	Virginia	2015
Hanover County	4	Hanover, VA	3	Virginia	2015
Harrisonburg	0	Harrisonburg, VA	1	Virginia	2015
Henrico County Police D	10	Henrico, VA	12	Virginia	2015
Henry County	5	Henry, VA	5	Virginia	2015
Hopewell	1	Hopewell, VA	3	Virginia	2015
Isle of Wight County	1	Isle of Wight, VA	1	Virginia	2015
James City County Police Department	3	James City, VA	1	Virginia	2015
King George County	0	King George, VA	1	Virginia	2015
Leesburg	1	Loudoun, VA	1	Virginia	2015
Loudoun County	3	Loudoun, VA	3	Virginia	2015
State Police: Loudoun County	0	Loudoun, VA	1	Virginia	2015
Lynchburg	4	Lynchburg, VA	2	Virginia	2015
Madison County	1	Madison, VA	1	Virginia	2015
Martinsville	1	Martinsville, VA	1	Virginia	2015
Mecklenburg County	1	Mecklenburg, VA	1	Virginia	2015
Christiansburg	1	Montgomery, VA	1	Virginia	2015
Montgomery County	3	Montgomery, VA	4	Virginia	2015
Newport News	12	Newport News, VA	25	Virginia	2015
Norfolk	13	Norfolk, VA	28	Virginia	2015
Exmore	0	Northampton, VA	2	Virginia	2015
State Police: Northampton County	0	Northampton, VA	1	Virginia	2015
State Police: Nottoway County	0	Nottoway, VA	1	Virginia	2015
Page County	1	Page, VA	1	Virginia	2015
Patrick County	0	Patrick, VA	1	Virginia	2015
Petersburg	18	Petersburg, VA	16	Virginia	2015
Pittsylvania County	1	Pittsylvania, VA	7	Virginia	2015
State Police: Pittsylvania County	1	Pittsylvania, VA	1	Virginia	2015
Portsmouth	6	Portsmouth, VA	27	Virginia	2015
State Police: Portsmouth	0	Portsmouth, VA	4	Virginia	2015
State Police: Powhatan County	0	Powhatan, VA	1	Virginia	2015
State Police: Prince Edward County	0	Prince Edward, VA	1	Virginia	2015
Prince George County Police Department	0	Prince George, VA	1	Virginia	2015
Prince William County Police Department	5	Prince William, VA	10	Virginia	2015
Pulaski County	1	Pulaski, VA	1	Virginia	2015
State Police: Pulaski County	0	Pulaski, VA	1	Virginia	2015
Richmond	30	Richmond, VA	43	Virginia	2015
Roanoke	11	Roanoke, VA	11	Virginia	2015
Roanoke County Police Department	0	Roanoke, VA	1	Virginia	2015
State Police: Roanoke	0	Roanoke, VA	1	Virginia	2015
Rockbridge County	1	Rockbridge, VA	1	Virginia	2015
Russell County	1	Russell, VA	0	Virginia	2015
Salem	1	Salem, VA	2	Virginia	2015
State Police: Scott County	1	Scott, VA	1	Virginia	2015
Spotsylvania County	1	Spotsylvania, VA	2	Virginia	2015
Stafford County	3	Stafford, VA	6	Virginia	2015
Suffolk County	2	Suffolk, VA	3	Virginia	2015
Richlands	1	Tazewell, VA	1	Virginia	2015
Virginia Beach	25	Virginia Beach, VA	19	Virginia	2015
Warren County	3	Warren, VA	1	Virginia	2015
Abingdon	1	Washington, VA	1	Virginia	2015
Colonial Beach	1	Westmoreland, VA	1	Virginia	2015
Westmoreland County	1	Westmoreland, VA	1	Virginia	2015
Big Stone Gap	1	Wise, VA	1	Virginia	2015
Pound	1	Wise, VA	1	Virginia	2015
State Police: Wise County	0	Wise, VA	4	Virginia	2015
Wise County	0	Wise, VA	2	Virginia	2015
York County	2	York, VA	2	Virginia	2015
Clarkston	2	Asotin, WA	2	Washington	2015
Benton County	4	Benton, WA	0	Washington	2015
Kennewick	2	Benton, WA	3	Washington	2015
Battle Ground	1	Clark, WA	1	Washington	2015
Clark County	1	Clark, WA	4	Washington	2015
Vancouver	0	Clark, WA	2	Washington	2015
Cowlitz County	1	Cowlitz, WA	1	Washington	2015
Longview	1	Cowlitz, WA	1	Washington	2015
East Wenatchee	1	Douglas, WA	1	Washington	2015
Franklin County	2	Franklin, WA	2	Washington	2015
Pasco	4	Franklin, WA	3	Washington	2015
Grant County	2	Grant, WA	2	Washington	2015
Moses Lake	1	Grant, WA	1	Washington	2015
Royal City	1	Grant, WA	1	Washington	2015
Aberdeen	1	Grays Harbor, WA	1	Washington	2015
Island County	1	Island, WA	1	Washington	2015
Jefferson County	1	Jefferson, WA	1	Washington	2015
Auburn	2	King, WA	7	Washington	2015
Bellevue	2	King, WA	2	Washington	2015
Covington	1	King, WA	1	Washington	2015
Des Moines	1	King, WA	1	Washington	2015
Federal Way	2	King, WA	4	Washington	2015
Kent	4	King, WA	5	Washington	2015
King County	6	King, WA	11	Washington	2015
Renton	1	King, WA	4	Washington	2015
Seatac	2	King, WA	5	Washington	2015
Seattle	11	King, WA	24	Washington	2015
Tukwila	0	King, WA	1	Washington	2015
Bremerton	1	Kitsap, WA	1	Washington	2015
Kitsap County	5	Kitsap, WA	6	Washington	2015
Centralia	0	Lewis, WA	1	Washington	2015
Mason County	2	Mason, WA	3	Washington	2015
Okanogan County	1	Okanogan, WA	1	Washington	2015
Gig Harbor	1	Pierce, WA	1	Washington	2015
Lakewood	0	Pierce, WA	2	Washington	2015
Pierce County	17	Pierce, WA	18	Washington	2015
Puyallup	3	Pierce, WA	3	Washington	2015
Tacoma	13	Pierce, WA	12	Washington	2015
University Place	2	Pierce, WA	0	Washington	2015
Burlington	0	Skagit, WA	1	Washington	2015
Mount Vernon	2	Skagit, WA	1	Washington	2015
Skagit County	1	Skagit, WA	1	Washington	2015
Everett	5	Snohomish, WA	5	Washington	2015
Lynnwood	1	Snohomish, WA	1	Washington	2015
Mill Creek	1	Snohomish, WA	1	Washington	2015
Monroe	1	Snohomish, WA	1	Washington	2015
Mountlake Terrace	0	Snohomish, WA	1	Washington	2015
Snohomish County	4	Snohomish, WA	6	Washington	2015
Spokane	11	Spokane, WA	12	Washington	2015
Spokane County	4	Spokane, WA	5	Washington	2015
Stevens County	0	Stevens, WA	4	Washington	2015
Thurston County	2	Thurston, WA	3	Washington	2015
Walla Walla	2	Walla Walla, WA	4	Washington	2015
Bellingham	1	Whatcom, WA	1	Washington	2015
Colville Tribal	1	Whatcom, WA	1	Washington	2015
Puyallup Tribal	2	Whatcom, WA	2	Washington	2015
Suquamish Tribal	1	Whatcom, WA	1	Washington	2015
Whatcom County	6	Whatcom, WA	5	Washington	2015
Pullman	1	Whitman, WA	1	Washington	2015
Grandview	1	Yakima, WA	1	Washington	2015
Sunnyside	0	Yakima, WA	2	Washington	2015
Toppenish	2	Yakima, WA	3	Washington	2015
Union Gap	0	Yakima, WA	1	Washington	2015
Yakima	3	Yakima, WA	7	Washington	2015
Yakima County	6	Yakima, WA	7	Washington	2015
Barbour County	0	Barbour, WV	1	West Virginia	2015
Berkeley County	2	Berkeley, WV	2	West Virginia	2015
Martinsburg	0	Berkeley, WV	1	West Virginia	2015
State Police: Martinsburg	1	Berkeley, WV	1	West Virginia	2015
State Police: Grantsville	0	Calhoun, WV	1	West Virginia	2015
State Police: Clay	0	Clay, WV	1	West Virginia	2015
Fayette County	0	Fayette, WV	3	West Virginia	2015
State Police: Glenville	1	Gilmer, WV	1	West Virginia	2015
State Police: Petersburg	1	Grant, WV	1	West Virginia	2015
State Police: Rainelle	0	Greenbrier, WV	1	West Virginia	2015
Hampshire County	2	Hampshire, WV	2	West Virginia	2015
Hancock County	0	Hancock, WV	1	West Virginia	2015
Hancock/Brooke/Wrtn Dtf	1	Hancock, WV	1	West Virginia	2015
Weirton	1	Hancock, WV	1	West Virginia	2015
Harrison County	1	Harrison, WV	1	West Virginia	2015
Charles Town	2	Jefferson, WV	2	West Virginia	2015
Charleston	5	Kanawha, WV	8	West Virginia	2015
Kanawha County	3	Kanawha, WV	6	West Virginia	2015
South Charleston	0	Kanawha, WV	2	West Virginia	2015
State Police: South Charleston	1	Kanawha, WV	1	West Virginia	2015
State Police: Hamlin	1	Lincoln, WV	1	West Virginia	2015
State Police: Logan	1	Logan, WV	1	West Virginia	2015
Fairmont	0	Marion, WV	2	West Virginia	2015
Marion County	0	Marion, WV	1	West Virginia	2015
State Police: Moundsville	0	Marshall, WV	1	West Virginia	2015
Bluefield	0	Mercer, WV	1	West Virginia	2015
Mercer County	0	Mercer, WV	1	West Virginia	2015
Princeton	1	Mercer, WV	1	West Virginia	2015
State Police: Morgantown	2	Monongalia, WV	2	West Virginia	2015
State Police: Union	2	Monroe, WV	2	West Virginia	2015
Morgan County	0	Morgan, WV	1	West Virginia	2015
Wheeling	1	Ohio, WV	1	West Virginia	2015
State Police: Buckeye	2	Pocahontas, WV	2	West Virginia	2015
State Police: Kingwood	1	Preston, WV	1	West Virginia	2015
Putnam County	0	Putnam, WV	1	West Virginia	2015
Beckley	2	Raleigh, WV	3	West Virginia	2015
Raleigh County	1	Raleigh, WV	2	West Virginia	2015
State Police: Beckley	0	Raleigh, WV	1	West Virginia	2015
State Police: Paden City	1	Tyler, WV	2	West Virginia	2015
State Police: Wayne	0	Wayne, WV	1	West Virginia	2015
Parkersburg	2	Wood, WV	2	West Virginia	2015
Sp: Grafton	0	Wood, WV	1	West Virginia	2015
Sp: Hundred	0	Wood, WV	1	West Virginia	2015
State Police: Parkersburg	0	Wood, WV	1	West Virginia	2015
Adams County	2	Adams, WI	2	Wisconsin	2015
Ashland	0	Ashland, WI	2	Wisconsin	2015
Green Bay	2	Brown, WI	2	Wisconsin	2015
Oneida Tribal	3	Brown, WI	2	Wisconsin	2015
Univ Of Wi: Green Bay	1	Brown, WI	1	Wisconsin	2015
Columbia County	0	Columbia, WI	1	Wisconsin	2015
Dane County	6	Dane, WI	5	Wisconsin	2015
Fitchburg	1	Dane, WI	1	Wisconsin	2015
Madison	6	Dane, WI	6	Wisconsin	2015
Stoughton	1	Dane, WI	1	Wisconsin	2015
Sun Prairie	1	Dane, WI	1	Wisconsin	2015
Fond Du Lac	0	Fond du Lac, WI	1	Wisconsin	2015
Grant County	3	Grant, WI	3	Wisconsin	2015
Monroe	1	Green, WI	1	Wisconsin	2015
Jackson County	1	Jackson, WI	2	Wisconsin	2015
Jefferson County	2	Jefferson, WI	2	Wisconsin	2015
Juneau County	0	Juneau, WI	1	Wisconsin	2015
Kenosha	4	Kenosha, WI	4	Wisconsin	2015
Kenosha County	0	Kenosha, WI	1	Wisconsin	2015
Pleasant Prairie	1	Kenosha, WI	1	Wisconsin	2015
Holmen	1	La Crosse, WI	1	Wisconsin	2015
La Crosse	1	La Crosse, WI	1	Wisconsin	2015
Merrill	1	Lincoln, WI	1	Wisconsin	2015
Wausau	2	Marathon, WI	2	Wisconsin	2015
Marinette County	1	Marinette, WI	1	Wisconsin	2015
Cudahy	0	Milwaukee, WI	1	Wisconsin	2015
Greenfield	1	Milwaukee, WI	1	Wisconsin	2015
Milwaukee	83	Milwaukee, WI	146	Wisconsin	2015
South Milwaukee	0	Milwaukee, WI	1	Wisconsin	2015
West Allis	0	Milwaukee, WI	1	Wisconsin	2015
Monroe County	1	Monroe, WI	1	Wisconsin	2015
Tomah	1	Monroe, WI	1	Wisconsin	2015
Oneida County	2	Oneida, WI	2	Wisconsin	2015
Pierce County	1	Pierce, WI	1	Wisconsin	2015
Prescott	0	Pierce, WI	1	Wisconsin	2015
Polk County	1	Polk, WI	1	Wisconsin	2015
Portage County	1	Portage, WI	1	Wisconsin	2015
Racine	4	Racine, WI	4	Wisconsin	2015
Beloit	3	Rock, WI	3	Wisconsin	2015
Beloit Town	1	Rock, WI	1	Wisconsin	2015
Milton	1	Rock, WI	1	Wisconsin	2015
Rock County	1	Rock, WI	1	Wisconsin	2015
Rusk County	0	Rusk, WI	2	Wisconsin	2015
Baraboo	1	Sauk, WI	1	Wisconsin	2015
Sauk County	2	Sauk, WI	2	Wisconsin	2015
Sawyer County	2	Sawyer, WI	2	Wisconsin	2015
Stockbridge Munsee Tribl	0	Shawano, WI	1	Wisconsin	2015
Plymouth	0	Sheboygan, WI	1	Wisconsin	2015
Sheboygan County	1	Sheboygan, WI	2	Wisconsin	2015
New Richmond	0	St. Croix, WI	2	Wisconsin	2015
Elkhorn	1	Walworth, WI	1	Wisconsin	2015
Muskego	0	Waukesha, WI	1	Wisconsin	2015
Oconomowoc	1	Waukesha, WI	1	Wisconsin	2015
Waukesha	3	Waukesha, WI	3	Wisconsin	2015
Menasha	0	Winnebago, WI	3	Wisconsin	2015
Oshkosh	1	Winnebago, WI	1	Wisconsin	2015
Laramie	1	Albany, WY	1	Wyoming	2015
Campbell County	2	Campbell, WY	2	Wyoming	2015
Rawlins	0	Carbon, WY	1	Wyoming	2015
Lander	1	Fremont, WY	1	Wyoming	2015
Riverton	1	Fremont, WY	1	Wyoming	2015
Wind River Agency	1	Fremont, WY	1	Wyoming	2015
Goshen County	0	Goshen, WY	1	Wyoming	2015
Cheyenne	3	Laramie, WY	7	Wyoming	2015
Casper	1	Natrona, WY	1	Wyoming	2015
Newcastle	1	Weston, WY	0	Wyoming	2015
